Timestamp,Internal_Timer,Raw_Reading
2026-06-25 21:13:11.692,45250,2
2026-06-25 21:13:11.943,45500,0
2026-06-25 21:13:12.195,45750,11
2026-06-25 21:13:12.948,46500,1
2026-06-25 21:13:13.702,47250,16
2026-06-25 21:13:15.158,48750,180
2026-06-25 21:13:15.410,49000,417
2026-06-25 21:13:15.912,49500,330
2026-06-25 21:13:16.164,49750,364
2026-06-25 21:13:16.667,50250,818
2026-06-25 21:13:16.918,50500,1158
2026-06-25 21:13:17.170,50750,1260
2026-06-25 21:13:17.421,51000,1321
2026-06-25 21:13:17.673,51250,909
2026-06-25 21:13:17.924,51500,656
2026-06-25 21:13:18.175,51750,1335
2026-06-25 21:13:18.427,52000,6537
2026-06-25 21:13:18.678,52250,11277
2026-06-25 21:13:18.929,52500,1545
2026-06-25 21:13:19.180,52750,23627
2026-06-25 21:13:19.432,53000,27746
2026-06-25 21:13:19.683,53250,31651
2026-06-25 21:13:19.935,53500,33968
2026-06-25 21:13:20.186,53750,34445
2026-06-25 21:13:20.437,54000,35588
2026-06-25 21:13:20.689,54250,36242
2026-06-25 21:13:20.940,54500,36988
2026-06-25 21:13:21.444,55000,42773
2026-06-25 21:13:21.695,55250,44214
2026-06-25 21:13:22.198,55750,48957
2026-06-25 21:13:22.449,56000,48070
2026-06-25 21:13:23.203,56750,49461
2026-06-25 21:13:23.906,57500,50831
2026-06-25 21:13:24.659,58250,51997
2026-06-25 21:13:25.412,59000,52766
2026-06-25 21:13:25.667,59250,51320
2026-06-25 21:13:26.169,59750,57015
2026-06-25 21:13:26.420,60000,45405
2026-06-25 21:13:26.671,60250,60144
2026-06-25 21:13:26.923,60500,61248
2026-06-25 21:13:27.174,60750,62367
2026-06-25 21:13:27.426,61000,62406
2026-06-25 21:13:27.677,61250,62102
2026-06-25 21:13:27.929,61500,61930
2026-06-25 21:13:28.180,61750,62387
2026-06-25 21:13:28.432,62000,62949
2026-06-25 21:13:28.683,62250,63319
2026-06-25 21:13:28.934,62500,62602
2026-06-25 21:13:29.186,62750,61816
2026-06-25 21:13:29.438,63000,64219
2026-06-25 21:13:29.689,63250,68392
2026-06-25 21:13:29.941,63500,61754
2026-06-25 21:13:30.192,63750,57118
2026-06-25 21:13:30.444,64000,53984
2026-06-25 21:13:30.946,64500,47895
2026-06-25 21:13:31.197,64750,47536
2026-06-25 21:13:31.700,65250,52187
2026-06-25 21:13:31.951,65500,50494
2026-06-25 21:13:33.410,1464,62228
2026-06-25 21:13:33.661,1714,56655
2026-06-25 21:13:34.163,2214,59755
2026-06-25 21:13:34.415,2464,52548
2026-06-25 21:13:34.917,2964,47495
2026-06-25 21:13:35.169,3214,35131
2026-06-25 21:13:35.420,3464,31814
2026-06-25 21:13:35.672,3714,27772
2026-06-25 21:13:35.923,3964,26184
2026-06-25 21:13:36.174,4214,26194
2026-06-25 21:13:36.426,4464,24241
2026-06-25 21:13:36.677,4714,21611
2026-06-25 21:13:36.929,4964,21093
2026-06-25 21:13:37.180,5214,19399
2026-06-25 21:13:37.431,5464,18895
2026-06-25 21:13:37.683,5714,18035
2026-06-25 21:13:37.934,5964,17607
2026-06-25 21:13:38.186,6214,16214
2026-06-25 21:13:38.437,6464,15990
2026-06-25 21:13:38.688,6714,14477
2026-06-25 21:13:38.940,6964,14652
2026-06-25 21:13:39.191,7214,14324
2026-06-25 21:13:39.442,7464,13831
2026-06-25 21:13:39.694,7714,12029
2026-06-25 21:13:39.945,7964,6948
2026-06-25 21:13:40.447,8464,2027
2026-06-25 21:13:40.699,8714,1578
2026-06-25 21:13:41.201,9214,1296
2026-06-25 21:13:41.659,9714,1053
2026-06-25 21:13:42.161,10214,866
2026-06-25 21:13:42.413,10464,704
2026-06-25 21:13:42.915,10964,214
2026-06-25 21:13:43.166,11214,125
2026-06-25 21:13:43.421,11464,91
2026-06-25 21:13:43.672,11714,170
2026-06-25 21:13:43.923,11964,202
2026-06-25 21:13:44.174,12214,209
2026-06-25 21:13:44.426,12464,224
2026-06-25 21:13:44.677,12714,229
2026-06-25 21:13:44.929,12964,236
2026-06-25 21:13:45.180,13214,192
2026-06-25 21:13:45.431,13464,214
2026-06-25 21:13:45.685,13714,378
2026-06-25 21:13:45.937,13964,834
2026-06-25 21:13:46.188,14214,580
2026-06-25 21:13:46.442,14464,375
2026-06-25 21:13:46.907,14964,233
